,old_formation,EE,change_to
9106,Grenzland,present,Grenzland
2097,Grès à Orthis monnieri,absent,Grès à Orthis monnieri
8389,Grès à Trigonies,present,Grès à Trigonies
9953,Grès à Voltzia,present,Grès à Voltzia
2098,Grès Armoricain,absent,Grès Armoricain
7393,Grès armoricain,present,Grès armoricain
2099,Grès d'Orval,absent,Grès d'Orval
2100,Grès de Boisset,absent,Grès de Boisset
10169,Grès de Infralias,present,Grès de Infralias
2101,Grès de Kirchaou,absent,Grès de Kirchaou
6599,Grès de la Bouëxière,present,Grès de la Bouëxière
2102,Grès de Luxembourg,absent,Grès de Luxembourg
6625,Grès de May,present,Grès de May
2103,Grès de Mortinsart,absent,Grès de Mortinsart
2104,Grès de Rochadouro,absent,Grès de Rochadouro
6602,Grès du Mont de Besneville,present,Grès du Mont de Besneville
2105,Grès inférieur et assises à Orbitolines,absent,Grès inférieur et assises à Orbitolines
8406,Grès inférieurs,present,Grès inférieurs
2106,Grès rouges,absent,Grès rouges
2107,Grès verts Dauphinois,absent,Grès verts Dauphinois
2108,Grès Verts de Dieulefit,absent,Grès Verts de Dieulefit
7890,Grès verts helvétiques,present,Grès verts helvétiques
2109,Greseuse,absent,Greseuse
2110,Gréseux de Florenville,absent,Gréseux de Florenville
2111,Gresten,absent,Gresten
8193,Greta,present,Greta
7039,Greta Grit,present,Greta Grit
2112,Grevenstein,absent,Grevenstein
2113,Greville,absent,Greville
2114,Grey Beds,absent,Grey Beds
2115,Grey Garumnian,absent,Grey Garumnian
7387,Griman Creek,present,Griman Creek
2116,Grimmelfingen,absent,Grimmelfingen
2117,Grimsøya,absent,Grimsøya
2118,Grinchuk Beds,absent,Grinchuk Beds
7076,Grindstone Creek,present,Grindstone Creek
2119,Griotte,absent,Griotte
2120,Griottes,absent,Griotte
7961,Grizzle,present,Grizzle
2121,Grodziszcze,absent,Grodziszcze
2122,Grodziszcze Conglomerates,absent,Grodziszcze
2123,Groos Quarry,absent,Groos Quarry
2124,Gros Ventre,absent,Gros Ventre
2125,Grossreifling Limestone,absent,Grossreifling Limestone
8592,Grotto Beach,present,Grotto Beach
2126,Grou Limestone,absent,Grou Limestone
2127,Grund,absent,Grund
2128,Grupera,absent,Grupera
8879,Grzegorzowice,present,Grzegorzowice
2129,Gua Musang,absent,Gua Musang
8541,Guadal,present,Guadal
7504,Guaiguaza Clay,present,Guaiguaza Clay
7597,Guajalote,present,Guajalote
2130,Gualcamayo,absent,Gualcamayo
2131,Guanacuna,absent,Guanacuna
6553,Guanacuno,present,Guanacuno
2132,Guandi,absent,Guandi
9495,Guandu,present,Guandu
2133,Guanggaishan,absent,Guanggaishan
7636,Guanling,present,Guanling
2134,Guanwushan,absent,Guanwushan
2135,Guapayito,absent,Guapayito
7792,Guasare,present,Guasare
2136,Guasasa,absent,Guasasa
2137,Guayanilla,absent,Guayanilla
7360,Gubik,present,Gubik
2138,Guchuochun,absent,Guchuochun
2139,Gudman,absent,Gudman
2140,Guelph,absent,Guelph
2141,Guemgouma,absent,Guemgouma
2142,Guépelle,absent,Guépelle
2143,Guilmette,absent,Guilmette
8859,Guinea Corn,present,Guinea Corn
2144,Guines,absent,Guines
2145,Güines,absent,Guines
9166,Gujo,present,Gujo
2146,Gulang,absent,Gulang
2147,Gulangdi,absent,Gulangdi
2148,Gulanhe,absent,Gulanhe
2149,Gull River,absent,Gull River
2150,Gullane,absent,Gullane
2151,Gullhögen,absent,Gullhögen
7210,Gulpen,present,Gulpen
2152,Gum Ridge,absent,Gum Ridge
9455,Gumizaki,present,Gumizaki
9875,Gümüşali,present,Gümüşali
2153,Gun River,absent,Gun River
2154,Gun River or Goeland,absent,Gun River
2155,Gun River?,absent,Gun River
2156,Gundara,absent,Gundara
10310,Gungri,present,Gungri
2157,Guniutan,absent,Guniutan
2158,Gunningbland,absent,Gunningbland
2159,Gunong Rabong,absent,Gunong Rabong
7923,Günsberg-Schichten,present,Günsberg-Schichten
2160,Guodingshan,absent,Guodingshan
7637,Guohua,present,Guohua
6378,Guojiaba,present,Guojiaba
9218,Guojiashan,present,Guojiashan
6467,Guole,present,Guole
2161,Guotang,absent,Guotang
2162,Gur'yanovka,absent,Gur'yanovka
7934,Gurabo,present,Gurabo
2163,Gurumdin,absent,Gurumdin
2164,Gurumdy,absent,Gurumdy
2165,Gushan,absent,Gushan
2166,Gusinaya,absent,Gusinaya
9116,Gusinozemelskaya,present,Gusinozemelskaya
2167,Gustalapiedra,absent,Gustalapiedra
2168,Gutenstein,absent,Gutenstein
2169,Gutingkeng,absent,Gutingkeng
6574,Guttenberg,present,Guttenberg
9092,Gyanyima,present,Gyanyima
7288,Gydo,present,Gydo
34,Gymnocodiacean Limestone,absent,Gymnocodiacean Limestone
2170,Gymnocodiacean Limestone,absent,Gymnocodiacean Limestone
2171,Gymnocodiacean limestones,absent,Gymnocodiacean Limestone
2172,Gymnocodiacean Limestones,absent,Gymnocodiacean Limestone
2173,Gypsiferous Series,absent,Gypsiferous Series
7311,Gypsum Spring,present,Gypsum Spring
7796,H. S. Lee,present,H.S. Lee
7797,H.S. Lee,present,H.S. Lee
2174,Ha Lang,absent,Ha Lang
8384,Habana,present,Habana
6788,Habberley,present,Habberley
2175,Habib Rahi,absent,Habib Rahi
8206,Habo beds,present,Habo beds
2176,Haborogawa,absent,Haborogawa
2177,Hadabulaktag,absent,Hadabulaktag
2178,Haebaru,absent,Haebaru
10268,Hagen-Balve,present,Hagen-Balve
7446,Hagino,present,Hagino
2179,Hagley Shales,absent,Hagley Shales
2180,Haida,absent,Haida
17,Hailey Shales',absent,Hailey Shales'
9843,Haizer-Akouker,present,Haizer-Akouker
6865,Hajar,present,Hajar
8757,Hajier,present,Hajier
9925,Hakai,present,Hakai
2181,Hakobuchi,absent,Hakobuchi
2182,Hala,absent,Hala
9431,Halal,present,Halal
2183,Hale,absent,Hale
2184,Hall,absent,Hall
7110,Halla,present,Halla
7105,Halla Beds,present,Halla
2185,Halleck,absent,Halleck
2186,Halliku,absent,Halliku
2187,Halls Peak,absent,Halls Peak
2188,Hallstatt,absent,Hallstatt
2189,Hallstätt,absent,Hallstätt
2190,Hallstatt Limestone,absent,Hallstatt Limestone
2191,Hallstätterkalk,absent,Hallstätterkalk
2192,Halobienschiefer,absent,Halobienschiefer
9603,Halstatt,present,Halstatt
7297,Hamam,present,Hamam
2193,Hamar Laghdad Limestone,absent,Hamar Laghdad Limestone
8065,Hambast,present,Hambast
2194,Hambergfjellet,absent,Hambergfjellet
6971,Hambleton Oolite,present,Hambleton Oolite
8794,Hamilton,present,Hamilton
2195,Hammett,absent,Hammett Shale
2196,Hammett Shale,absent,Hammett Shale
2197,Hamou-Rhanem,absent,Hamou-Rhanem
7313,Hampen Marly,present,Hampen Marly
2198,Hampton,absent,Hampton
7531,Hamra,present,Hamra Beds
2199,Hamra Beds,present,Hamra Beds
2200,Hamra?,present,Hamra Beds
2201,Hamrat Duru,absent,Hamrat Duru
2202,Han-Bulog,absent,Han-Bulog
2203,Hanchiatien,absent,Hanchiatien
8930,Haneji,present,Haneji
2204,Haney,absent,Haney Limestone
2205,Haney Limestone,absent,Haney Limestone
2206,Hangenberg,absent,Hangenberg
2207,Hangenberg Kalk,absent,Hangenberg Kalk
2208,Hangenberg Limestone,absent,Hangenberg Limestone
2209,Hangenberg Shale,absent,Hangenberg Shale
2210,Hangende-Bankkalke,absent,Hangende-Bankkalke
2211,Hangende–Bankkalke,absent,Hangende-Bankkalke
7814,Hangu,present,Hangu
2212,Hangvar,absent,Hangvar
7684,Hanifa,present,Hanifa
2213,Hannoura,absent,Hannoura
2214,Hanonet,absent,Hanonet
2215,Hanover,absent,Hanover
2216,Hanson Creek,absent,Hanson Creek
7160,Hanwang,present,Hanwang
9982,Harada,present,Harada
2217,Haragan,absent,Haragan
2218,Haraichi,absent,Haraichi
2219,Harbecke,absent,Harbecke
2220,Hardgrave,absent,Hardgrave
,,,
2221,Hardman,absent,Hardman
2222,Hardrow Scar Limestone,absent,Hardrow Scar Limestone
2223,Hardrow Scar Limestone III,absent,Hardrow Scar Limestone III
8398,Hardrow Scar Limestone III Cyclothem,present,Hardrow Scar Limestone III Cyclothem
2224,Hardrow Scar Limestone IIIa,absent,Hardrow Scar Limestone IIIa
2225,Hardrow Scar Limestone IIIb,absent,Hardrow Scar Limestone IIIb
2226,Hardwick,absent,Hardwick
2227,Hare Fiord,absent,Hare Fiord
2228,Hare Indian,absent,Hare Indian
2229,Hargreaves,absent,Hargreaves
6377,Harkless,present,Harkless
7062,Harrell,present,Harrell
9423,Harrison Lake,present,Harrison Lake
2230,Harrodsburg Limestone,absent,Harrodsburg Limestone
2231,Hartford,absent,Hartford
35,Hartmannshof,absent,Hartmannshof
2232,Hartselle Sandstone,absent,Hartselle Sandstone
2233,Hartshill,absent,Hartshill
6835,Hartz Fjeld,present,Hartz Fjeld
9642,Harudi,present,Harudi
2234,Harvey River,absent,Harvey River
2235,Hashikadani,absent,Hashikadani
9224,Haslam,present,Haslam
2236,Hasle,absent,Hasle
9012,Hasler,present,Hasler
2237,Hassi Kerma,absent,Hassi Kerma
2238,Hassi Taibine Gypsum,absent,Hassi Taibine Gypsum
2239,Hastière,absent,Hastière
2240,Hastings Creek,absent,Hastings Creek
2241,Hata,absent,Hata
9636,Hatatate,present,Hatatate
8593,Hatchetigbee,present,Hatchetigbee
7277,Hatchetigbee Bluff,present,Hatchetigbee
2242,Hateruma,absent,Hateruma
2243,Hato,absent,Hato
8327,Hatsuse,present,Hatsuse
2244,Hatter,absent,Hatter
2245,Haugh Wood,absent,Haugh Wood
2246,Hauptbank,absent,Hauptbank
9950,Hauptdolomit,present,Hauptdolomit
2247,Hauptraugenstein,absent,Hauptraugenstein
8798,Hauptrogenstein,present,Hauptrogenstein
2248,Hautawan,absent,Hautawan
2249,Haute Bidouz,absent,Haute Bidouz
2250,Hauts-de-Narbonne,absent,Hauts-de-Narbonne
2251,Havensville,absent,Havensville
2252,Haverford,absent,Haverford
2253,Haverford Mudstone,absent,Haverford Mudstone
9254,Hawashya,present,Hawashya
2254,Hawes Limestone I,absent,Hawes Limestone I
2255,Hawk Shale,absent,Hawk Shale
8840,Hawthorn,present,Hawthorn
2256,Hay River,absent,Hay River
2257,Haycock Marl,absent,Haycock Marl
2258,Haymeadow Creek,absent,Haymeadow Creek
2259,Haymeadow Creek Shale,absent,Haymeadow Creek
9136,Hayrettin,present,Hayrettin
2260,Headless,absent,Headless
10262,Headon,present,Headon Beds
7413,Headon Beds,present,Headon Beds
7414,Headon Hill,present,Headon Hill
6958,Heath,present,Heath
7281,Heather,present,Heather
2261,Heatherdale Shale,absent,Heatherdale Shale
2262,Heersum,absent,Heersum
2263,Heiberg,absent,Heiberg
9555,Heidemann Valley trench,present,Heidemann Valley trench
2264,Heilbronn,absent,Heilbronn
9468,Heiligkreuz,present,Heiligkreuz
2265,Heiligkreuz/ Dürrestein,absent,Heiligkreuz/ Dürrestein
2266,Heilinpu,absent,Heilinpu
2267,Heinishao,absent,Heinishao
2268,Heisdorf,absent,Heisdorf
2269,Heishantou,absent,Heishantou
2270,Heitai,absent,Heitai
7435,Heki,present,Heki
2271,Hell Creek,absent,Hell Creek
2272,Hells Mouth Grits,absent,Hells Mouth Grits
2273,Helmsdale Boulder Beds,absent,Helmsdale Boulder Beds
9197,Helongshan,present,Helongshan
10117,Helvetiafjellet,present,Helvetiafjellet
2274,Hemberg,absent,Hemberg
7456,Hempstead,present,Hempstead
2275,Hemse,present,Hemse
7100,Hemse Beds,present,Hemse
2276,Hendersonville Shale,absent,Hendersonville Shale
2277,Hendre Shale,absent,Hendre Shale
2278,Hendricks,absent,Hendricks
2279,Henglunshan,absent,Henglunshan
10129,Henrietta,present,Henrietta
2280,Henryhouse,absent,Henryhouse
2281,Henson Gletscher,absent,Henson Gletscher
2282,Herbesskaya,absent,Herbesskaya
2283,Herington,absent,Herington
8638,Herkimer,present,Herkimer
6503,Hermitage,present,Hermitage
2284,Herøya,absent,Herøya
8058,Herschell Limestone,present,Herschell Limestone
6806,Hertha,present,Hertha
7750,Heshan,present,Heshan
2285,Heshilafu,absent,Heshilafu
7600,Hess,present,Hess
2286,Hess River,absent,Hess River
2287,Hesseltal,absent,Hesseltal
8226,Hesteelv,present,Hesteelv
2288,Hetang,absent,Hetang
9756,Hetvehely Dolomite,present,Hetvehely Dolomite
2289,Hibernian Greensand,absent,Hibernian Greensand
2290,Hibernian Greensands,absent,Hibernian Greensand
8176,Hibihara,present,Hibihara
2291,Hiccles Cove,absent,Hiccles Cove
2292,Hickman,absent,Hickman
7156,Hidasivölgy Marl,present,Hidasivölgy Marl
7409,Hidden Lake,present,Hidden Lake
2293,Hidden Valley Dolomite,absent,Hidden Valley Dolomite
9426,Hidegkut,present,Hidegkut
2294,Hierges-Hampteau,absent,Hierges-Hampteau
9214,Hierlatz,present,Hierlatz
8828,Hierlatz Limestone,present,Hierlatz Limestone
9677,Higashi-lnnai,present,Higashi-lnnai
9938,Higashibessho,present,Higashibessho
9926,Higashimorogata,present,Higashimorogata
7482,Higashinagano,present,Higashinagano
9098,High Cliff Sandstone,present,High Cliff Sandstone
2295,High Mains,absent,High Mains
2296,High Tor Limestone,absent,High Tor Limestone
2297,Highgate,absent,Highgate
2298,Highlands,absent,Highlands
7682,Hijikara,present,Hijikara
7680,Hijikata,present,Hijikata
7794,Hijikata Silt,present,Hijikata
2299,Hikagenosawa,absent,Hikagenosawa
2300,Hikatagawa,absent,Hikatagawa
9886,Hikoroichi,present,Hikoroichi
2301,Hillard Limestone,absent,Hillard Limestone
2302,Hillershausen,absent,Hillershausen
8494,Hilliste,present,Hilliste
7005,Hillsdale Limestone,present,Hillsdale Limestone
2303,Hilo,absent,Hilo
2304,Hils Conglomerate,absent,Hils Conglomerate
9984,Himi,present,Himi
2305,Hina Limestone,absent,Hina Limestone
7467,Hinagu,present,Hinagu
9411,Hinchman,present,Hinchman
8632,Hinoshima,present,Hinoshima
7884,Hinton,present,Hinton
7400,Hirabara,present,Hirabara
7461,Hiraiga,present,Hiraiga
2306,Hiraiga Sandstone,present,Hiraiga
2307,Hiraiso,absent,Hiraiso
2308,Hiramatsu,absent,Hiramatsu
2309,Hiranita,absent,Hiranita
2310,Hirayama,absent,Hirayama
2311,Hirmuse,absent,Hirmuse
2312,Hirnant Limestone,absent,Hirnant Limestone
9183,Hirobatake,present,Hirobatake
8041,Hirono,present,Hirono
2313,Hitt Canyon,absent,Hitt Canyon
9314,Hljikata Silt,present,Hljikata Silt
2314,Hoang Mai,absent,Hoang Mai
2315,Hobbs Glacier,absent,Hobbs Glacier
2316,Hobräcke,absent,Hobräcke
8423,Hochmoos,present,Hochmoos
2317,Hodder Mudstone,absent,Hodder Mudstone
2318,Hodimont,absent,Hodimont
6715,Hog’s Back,present,Hog’s Back
6928,Hogklint,present,Hogklint
2319,Högklint,present,Hogklint
2320,Hogklint Bed,present,Hogklint
7104,Hogklint Beds,present,Hogklint
2321,Hogshooter,absent,Hogshooter
2322,Hogshooter Limestone,absent,Hogshooter
2323,Hohe Warte,absent,Hohe Warte
2324,Hohe Warte Limestone,absent,Hohe Warte
2325,Hohenhöfer-Hohräcker Schichten,absent,Hohenhöfer-Hohräcker Schichten
2326,Hojedk,absent,Hojedk
7403,Hoji,present,Hoji
9915,Hoko River,present,Hoko River
2327,Holdenville,absent,Holdenville
2328,Holder,absent,Holder
8701,Holderness,present,Holderness
2329,Holen,absent,Holen
2330,Holen Limestone,absent,Holen
8394,Holic,present,Holic
2331,Holly Creek,absent,Holly Creek
2332,Hollywell,absent,Hollywell
2333,Holmia Shale,absent,Holmia Shale
2334,Holmpatrick,absent,Holmpatrick
9097,Holmwood,present,Holmwood
2335,Holodnolog,absent,Holodnolog
2336,Holston,absent,Holston
2337,Holywell Nodular Chalk,absent,Holywell Nodular Chalk
2338,Homomyen Mergel,absent,Homomyen Mergel
2339,Honeycut,absent,Honeycut
2340,Hong Hoi,absent,Hong Hoi
2341,Hongchunping,absent,Hongchunping
2342,Hongguleleng,absent,Hongguleleng
2343,Honghuayuan,absent,Honghuayuan
6476,Hongjingshao,present,Hongjingshao
2344,Hongo,absent,Hongo
6781,Hongshiya,present,Hongshiya
2345,Hongshuichuanqun,absent,Hongshuichuanqun
9893,Hongweikeng,present,Hongweikeng
2346,Honna,absent,Honna
9182,Honodani,present,Honodani
2347,Honsel,absent,Honsel
2348,Honseler Schichten,absent,Honseler Schichten
10195,Honya,present,Honya
8545,Honya Mudstone,present,Honya
2349,Hoodoo,absent,Hoodoo
2350,Hook head,absent,Hook head
8939,Hookton,present,Hookton
2351,Hopedale Limestones,absent,Hopedale Limestones
7172,Hopkinton,present,Hopkinton
2352,Horderly Sandstone,absent,Horderly Sandstone
2353,Horimatsu,absent,Horimatsu
2354,Horn Plateau,absent,Horn Plateau
2355,Horn Valley Siltstone,absent,Horn Valley Siltstone
8235,Hornbrook,present,Hornbrook
7174,Hornerstown,present,Hornerstown
7653,Hornos-Siles,present,Hornos-Siles
10024,Horokabetsu,present,Horokabetsu
2356,Horokaoshirarika,absent,Horokaoshirarika
2357,Horquilla,absent,Horquilla
8150,Horry Clay,present,Horry Clay
2358,Horsefeed,absent,Horsefeed
2359,Horseshoe Canyon,absent,Horseshoe Canyon
8832,Hortezuelos,present,Hortezuelos
2360,Horton Bluff,absent,Horton Bluff
2361,Hoso-o,absent,Hoso-o
2362,Hosoura,absent,Hosoura
2363,Hossei,absent,Hossei Beds
2364,Hossei Beds,absent,Hossei Beds
7222,Hosselkus,present,Hosselkus
2365,Hotang,absent,Hotang
7910,Hotwells,present,Hotwells
2366,Houdongkeng,absent,Houdongkeng
2367,Hound Island Volcanics,absent,Hound Island Volcanics
6659,House,present,House
2368,House Limestone,present,House
7211,Houthem,present,Houthem
2369,Houziguan,absent,Houziguan
2370,Hovindsholm Shale,absent,Hovindsholm Shale
2371,Hovinsholm,absent,Hovinsholm
2372,Hovsugol,absent,Hovsugol
9338,Howard,present,Howard
2373,Hoyt Canyon,absent,Hoyt Canyon
2374,Hoyt Limestone,absent,Hoyt Limestone
2375,Hradisko,absent,Hradisko
2376,Hradiste,absent,Hradiste
2377,Hricocske Podhradie,absent,Hricocske Podhradie
2378,Hrušky,absent,Hrušky
6800,Hsiangyang,present,Hsiangyang
9459,Hsikuangshan,present,Hsikuangshan
2379,Hsuchuang,absent,Hsuchuang
8585,Huacllaco,present,Huacllaco
2380,Huaguoshan,absent,Huaguoshan
2381,Huai I-Loet,absent,Huai I-Loet
2382,Huai Luang,absent,Huai Luang
2383,Huai Tak,absent,Huai Thak
2384,Huai Thak,absent,Huai Thak
2385,Huaitoutala,absent,Huaitoutala
2386,Huamampampa,absent,Huamampampa
2387,Huangboling,absent,Huangboling
9138,Huanggangliang,present,Huanggangliang
2388,Huanglianba,absent,Huanglianba
2389,Huanglong,absent,Huanglong
2390,Huangmaqing,absent,Huangmaqing
2391,Huangnekang,absent,Huangnekang
6547,Huangnigang,present,Huangnigang
6406,Huangshandong,present,Huangshandong
7984,Huangzhishan,present,Huangzhishan
6472,Huaqiao,present,Huaqiao
8874,Huasteca,present,Huasteca
2392,Huayacocotla,absent,Huayacocotla
2393,Huayansi,absent,Huayansi
9352,Hudspeth,present,Hudspeth
10301,Hudspeth,present,Hudspeth
2394,Hudspeth ,present,Hudspeth
7397,Hueco,present,Hueco
2395,Hueco Canyon,absent,Hueco Canyon
2396,Huelva,absent,Huelva Sands
2397,Huelva Sands,absent,Huelva Sands
9452,Huenteguapi,present,Huenteguapi
7466,Huesa,present,Huesa
2398,Huet,absent,Huet
9013,Hughley Shales,present,Hughley Shales
9861,Huglu Tuffite,present,Huglu Tuffite
9158,Huitrin,present,Huitrin
2399,Huitrín,present,Huitrin
2400,Huixingshao,absent,Huixingshao
2401,Huk,absent,Huk
2402,Huk & Elnes,absent,Huk & Elnes
2403,Hulcross,absent,Hulcross
2404,Hule,absent,Hule
2405,Hull,absent,Hull
2406,Hulo,absent,Hulo
2407,Hume,absent,Hume
2408,Humeralis Mergel,absent,Humeralis Mergel
7204,Humeralis Schichten,present,Humeralis Schichten
7401,Humevale,present,Humevale
8151,Hummar,present,Hummar
2409,Hump Ridge Coal Measures,absent,Hump Ridge Coal Measures
36,Humphriesi Oolith,absent,Humphriesi Oolith
9644,Humptulips,present,Humptulips
2410,Hungchunping,absent,Hungchunping
2411,Hungry Hollow,absent,Hungry Hollow
7759,Huni Dolomite,present,Huni Dolomite
2412,Hunsruck Slate,present,Hunsruck Slate
7179,Hunsrueck Slate,present,Hunsruck Slate
